timestamp,accx,accy,accz
11:18:51.325,-0.676,0.501,0.529
11:18:51.520,-0.685,0.492,0.512
11:18:51.716,-0.664,0.481,0.529
11:18:51.910,-0.687,0.501,0.526
11:18:52.107,-0.678,0.499,0.531
11:18:52.301,-0.683,0.494,0.542
11:18:52.495,-0.678,0.476,0.547
11:18:52.690,-0.675,0.494,0.549
11:18:52.885,-0.708,0.475,0.496
11:18:53.081,-0.705,0.49,0.51
11:18:53.324,-0.682,0.482,0.522
11:18:53.519,-0.691,0.498,0.517
11:18:53.713,-0.685,0.481,0.529
11:18:53.908,-0.672,0.505,0.52
11:18:54.103,-0.691,0.482,0.514
11:18:54.299,-0.672,0.496,0.516
11:18:54.493,-0.686,0.511,0.502
11:18:54.690,-0.673,0.511,0.531
11:18:54.884,-0.678,0.5,0.533
11:18:55.080,-0.685,0.492,0.524
11:18:55.274,-0.701,0.497,0.52
11:18:55.469,-0.688,0.505,0.524
11:18:55.665,-0.677,0.5,0.522
11:18:55.859,-0.674,0.508,0.509
11:18:56.054,-0.688,0.52,0.51
11:18:56.248,-0.677,0.522,0.494
11:18:56.444,-0.692,0.507,0.493
11:18:56.639,-0.684,0.502,0.507
11:18:56.836,-0.677,0.506,0.504
11:18:57.029,-0.694,0.503,0.505
11:18:57.224,-0.695,0.501,0.507
11:18:57.419,-0.683,0.501,0.496
11:18:57.664,-0.717,0.524,0.482
11:18:57.907,-0.697,0.52,0.482
11:18:58.054,-0.703,0.504,0.501
11:18:58.248,-0.699,0.512,0.476
11:18:58.446,-0.693,0.513,0.498
11:18:58.639,-0.697,0.52,0.478
11:18:58.835,-0.7,0.516,0.508
11:18:59.033,-0.685,0.508,0.482
11:18:59.223,-0.697,0.504,0.495
11:18:59.419,-0.695,0.516,0.479
11:18:59.613,-0.686,0.513,0.488
11:18:59.808,-0.688,0.511,0.495
11:19:00.005,-0.692,0.502,0.489
11:19:00.198,-0.688,0.52,0.479
11:19:00.393,-0.671,0.502,0.509
11:19:00.590,-0.672,0.521,0.496
11:19:00.783,-0.677,0.482,0.496
11:19:00.978,-0.678,0.491,0.508
11:19:01.175,-0.673,0.495,0.533
11:19:01.368,-0.698,0.496,0.512
11:19:01.563,-0.695,0.51,0.508
11:19:01.758,-0.699,0.517,0.51
11:19:02.002,-0.694,0.496,0.499
11:19:02.200,-0.686,0.522,0.501
11:19:02.392,-0.698,0.52,0.485
11:19:02.588,-0.671,0.536,0.484
11:19:02.783,-0.658,0.529,0.468
11:19:02.977,-0.678,0.533,0.478
11:19:03.172,-0.691,0.517,0.494
11:19:03.369,-0.683,0.527,0.502
11:19:03.562,-0.655,0.532,0.497
11:19:03.757,-0.69,0.514,0.493
11:19:03.953,-0.71,0.496,0.519
11:19:04.147,-0.702,0.483,0.514
11:19:04.345,-0.687,0.486,0.501
11:19:04.537,-0.69,0.497,0.511
11:19:04.780,-0.713,0.507,0.494
11:19:04.930,-0.699,0.49,0.514
11:19:05.124,-0.697,0.486,0.508
11:19:05.317,-0.682,0.49,0.509
11:19:05.562,-0.678,0.482,0.524
11:19:05.707,-0.695,0.487,0.518
11:19:05.902,-0.693,0.498,0.522
11:19:06.100,-0.684,0.496,0.514
11:19:06.390,-0.687,0.487,0.509
11:19:06.537,-0.692,0.501,0.522
11:19:06.731,-0.69,0.492,0.525
11:19:06.926,-0.691,0.483,0.511
11:19:07.120,-0.695,0.482,0.545
11:19:07.365,-0.686,0.487,0.512
11:19:07.510,-0.692,0.491,0.522
11:19:07.708,-0.684,0.486,0.529
11:19:07.949,-0.696,0.482,0.522
11:19:08.095,-0.687,0.475,0.511
11:19:08.292,-0.681,0.484,0.528
11:19:08.485,-0.675,0.474,0.522
11:19:08.680,-0.689,0.487,0.521
11:19:08.879,-0.691,0.482,0.527
11:19:09.071,-0.687,0.469,0.528
11:19:09.266,-0.675,0.494,0.544
11:19:09.461,-0.666,0.488,0.542
11:19:09.656,-0.687,0.477,0.543
11:19:09.849,-0.68,0.484,0.527
11:19:10.046,-0.727,0.487,0.544
11:19:10.241,-0.67,0.508,0.354
11:19:10.485,-0.629,0.521,0.61
11:19:10.680,-0.613,0.643,0.251
11:19:10.874,-0.717,0.767,0.244
11:19:11.070,-0.621,0.658,0.195
11:19:11.267,-0.654,0.665,0.284
11:19:11.460,-0.69,0.683,0.285
11:19:11.656,-0.638,0.666,0.283
11:19:11.849,-0.662,0.671,0.241
11:19:12.045,-0.7,0.685,0.288
11:19:12.241,-0.533,0.742,0.432
11:19:12.435,-0.608,0.642,0.413
11:19:12.630,-0.545,0.703,0.315
11:19:12.825,-0.578,0.722,0.372
11:19:13.021,-0.549,0.714,0.397
11:19:13.215,-0.556,0.701,0.43
11:19:13.410,-0.571,0.718,0.39
11:19:13.605,-0.571,0.707,0.387
11:19:13.799,-0.566,0.736,0.415
11:19:13.995,-0.519,0.712,0.383
11:19:14.190,-0.603,0.711,0.422
11:19:14.384,-0.523,0.67,0.452
