timestamp,gyrx,gyry,gyrz
11:18:46.839,23.55,-59.48,-109.29
11:18:47.035,23.12,-60.51,-113.04
11:18:47.180,23.23,-60.92,-116.36
11:18:47.375,23.15,-60.51,-120.19
11:18:47.619,23.02,-60.83,-122.93
11:18:47.814,23.28,-60.78,-127.07
11:18:47.960,23.7,-61.46,-130.72
11:18:48.206,23.87,-61.85,-135.32
11:18:48.352,24.12,-62.41,-138.94
11:18:48.547,24.65,-62.8,-143.2
11:18:48.745,24.78,-62.7,-147.02
11:18:48.985,24.51,-62.48,-150.51
11:18:49.186,24.55,-61.1,-153.74
11:18:49.376,24.33,-60.56,-157.34
11:18:49.569,23.99,-60.57,-160.73
11:18:49.765,23.99,-60.55,-164.21
11:18:49.961,23.82,-60.81,-167.71
11:18:50.155,23.7,-60.72,-171.08
11:18:50.351,23.46,-60.79,-174.64
11:18:50.550,24.04,-60.64,-178.42
11:18:50.741,24.25,-60.34,178.0
11:18:50.936,24.44,-59.95,174.34
11:18:51.277,24.4,-59.76,170.87
11:18:51.326,24.8,-59.53,167.07
11:18:51.522,24.68,-58.99,163.76
11:18:51.716,24.19,-59.1,160.37
11:18:51.911,23.82,-59.08,157.12
11:18:52.107,24.0,-59.12,153.34
11:18:52.302,24.31,-58.71,149.46
11:18:52.495,25.42,-58.81,144.91
11:18:52.691,25.86,-59.52,140.57
11:18:52.886,24.77,-59.58,137.59
11:18:53.081,25.01,-59.47,133.8
11:18:53.325,24.46,-59.66,130.39
11:18:53.519,24.2,-59.74,127.15
11:18:53.714,23.98,-59.96,123.82
11:18:53.908,24.29,-60.09,120.21
11:18:54.104,23.98,-59.79,117.0
11:18:54.300,24.14,-59.59,113.59
11:18:54.493,24.27,-60.39,109.71
11:18:54.690,23.76,-60.83,106.48
11:18:54.884,23.2,-60.54,103.4
11:18:55.080,22.5,-60.28,100.35
11:18:55.274,22.17,-59.46,97.7
11:18:55.470,22.28,-59.7,94.33
11:18:55.665,22.36,-59.73,90.92
11:18:55.859,22.35,-59.97,87.66
11:18:56.055,22.45,-59.69,83.86
11:18:56.249,22.48,-60.19,80.23
11:18:56.445,22.59,-60.43,76.65
11:18:56.640,22.82,-60.34,73.16
11:18:56.836,22.95,-60.83,69.45
11:18:57.029,22.62,-60.88,66.29
11:18:57.227,22.71,-60.74,62.98
11:18:57.420,22.55,-62.05,58.94
11:18:57.664,22.89,-63.47,54.22
11:18:57.907,22.91,-63.2,50.47
11:18:58.102,23.27,-64.0,46.5
11:18:58.251,23.6,-63.67,42.73
11:18:58.446,23.79,-63.47,39.18
11:18:58.639,23.45,-63.47,35.92
11:18:58.836,23.48,-63.39,32.35
11:18:59.033,23.82,-63.33,28.52
11:18:59.223,23.5,-63.07,25.35
11:18:59.419,23.79,-62.88,21.59
11:18:59.614,24.02,-62.67,17.7
11:18:59.808,24.2,-62.4,13.95
11:19:00.005,24.24,-62.03,10.32
11:19:00.198,24.39,-61.75,6.93
11:19:00.393,24.24,-59.76,4.64
11:19:00.590,25.13,-59.1,0.37
11:19:00.788,24.79,-58.31,-3.43
11:19:00.979,24.46,-58.47,-6.45
11:19:01.175,24.1,-58.27,-9.62
11:19:01.369,24.06,-58.46,-13.41
11:19:01.563,24.1,-58.73,-17.19
11:19:01.759,24.12,-59.16,-20.81
11:19:02.002,23.7,-59.46,-24.16
11:19:02.237,22.64,-60.04,-26.96
11:19:02.393,21.9,-60.58,-29.72
11:19:02.588,21.23,-60.81,-32.14
11:19:02.783,21.8,-61.64,-36.26
11:19:02.977,22.57,-60.92,-40.63
11:19:03.173,22.47,-60.87,-44.5
11:19:03.369,22.7,-61.08,-48.27
11:19:03.562,23.56,-61.1,-52.72
